DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2020,ES,213,ES43,1,137,2,940.02988,1,3,1
2020,ES,214,ES43,1,140,2,840.66850,1,3,1
2020,ES,215,ES43,1,140,2,477.93211,1,3,1
2020,ES,216,ES43,1,140,2,1389.51146,1,3,1
2020,ES,217,ES43,1,140,2,2035.12358,1,3,1
2020,ES,219,ES43,1,140,2,1094.84066,1,3,1
2020,ES,220,ES43,1,140,2,871.97875,1,3,1
2020,ES,221,ES43,1,146,2,1001.46748,1,3,1
2020,ES,222,ES43,1,146,2,659.23737,1,3,1
2020,ES,223,ES43,1,146,2,351.46837,1,3,1
2020,ES,224,ES43,1,146,2,618.98344,1,3,1
2020,ES,226,ES43,1,146,2,288.19489,1,3,1
2020,ES,227,ES43,1,146,2,1430.31041,1,3,1
2020,ES,229,ES43,1,146,2,729.92097,1,3,1
2020,ES,231,ES43,1,146,2,882.43542,1,3,1
2020,ES,232,ES43,1,152,2,1026.48415,1,3,1
2020,ES,233,ES43,1,152,2,2641.69322,1,3,1
2020,ES,234,ES43,1,152,2,1628.79610,1,3,1
2020,ES,235,ES43,1,152,2,830.48097,1,3,1
2020,ES,236,ES43,1,152,2,584.45493,1,3,1
2020,ES,237,ES43,1,159,2,1051.70312,1,3,1
2020,ES,239,ES43,1,159,2,570.57059,1,3,1
2020,ES,240,ES43,1,159,2,794.00938,1,3,1
2020,ES,242,ES43,1,159,2,827.61538,1,3,1
2020,ES,243,ES43,1,159,2,224.38034,1,3,1
2020,ES,244,ES43,1,159,2,772.10275,1,3,1
2020,ES,245,ES43,1,159,2,1281.06473,1,3,1
2020,ES,246,ES43,1,159,2,365.46421,1,3,1
2020,ES,247,ES43,1,167,2,2350.72661,1,3,1
2020,ES,248,ES43,1,167,2,405.97076,1,3,1
2020,ES,249,ES43,1,167,2,749.24526,1,3,1
2020,ES,250,ES43,1,167,2,1002.84197,1,3,1
2020,ES,251,ES43,1,167,2,302.06484,1,3,1
2020,ES,252,ES43,1,168,2,976.74373,1,2,1
2020,ES,253,ES43,1,168,2,209.91279,1,2,1
2020,ES,254,ES43,1,168,2,202.46018,1,2,1
2020,ES,255,ES43,1,168,2,361.16009,1,2,1
2020,ES,256,ES43,1,168,2,873.02991,1,2,1
2020,ES,257,ES43,1,169,2,2090.68414,1,3,1
2020,ES,258,ES43,1,169,2,1071.57257,1,3,1
2020,ES,259,ES43,1,169,2,1051.70312,1,3,1
2020,ES,260,ES43,1,169,2,226.02238,1,3,1
2020,ES,261,ES43,1,169,2,1468.95693,1,3,1
