DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2021,ES,563,ES41,1,759.03200,1,3,1
2021,ES,564,ES41,1,2340.51657,1,3,1
2021,ES,565,ES41,1,1996.79104,1,3,1
2021,ES,566,ES43,1,571.98734,1,3,1
2021,ES,567,ES43,1,766.61339,1,3,1
2021,ES,568,ES43,1,353.35961,1,3,1
2021,ES,569,ES43,1,491.68782,1,3,1
2021,ES,571,ES43,1,930.29415,1,3,1
2021,ES,572,ES43,1,827.68902,1,3,1
2021,ES,573,ES43,1,1053.57731,1,3,1
2021,ES,574,ES43,1,755.36772,1,3,1
2021,ES,575,ES43,1,386.28501,1,1,1
2021,ES,577,ES43,1,765.56524,1,1,1
2021,ES,578,ES43,1,755.76719,1,1,1
2021,ES,579,ES43,1,400.82505,1,1,1
2021,ES,580,ES43,1,624.19009,1,1,1
2021,ES,581,ES43,1,499.09873,1,1,1
2021,ES,582,ES43,1,734.13280,1,1,1
2021,ES,583,ES43,1,290.53483,1,1,1
2021,ES,584,ES43,1,975.73192,1,1,1
2021,ES,585,ES43,1,846.65045,1,2,1
2021,ES,586,ES43,1,324.19087,1,2,1
2021,ES,587,ES43,1,512.34138,1,2,1
2021,ES,589,ES43,1,880.64209,1,2,1
2021,ES,591,ES43,1,726.69914,1,3,1
2021,ES,592,ES43,1,732.46000,1,3,1
2021,ES,593,ES43,1,524.26768,1,3,1
2021,ES,595,ES43,1,726.69914,1,3,1
2021,ES,596,ES43,1,554.35494,1,3,1
2021,ES,597,ES43,1,726.69914,1,3,1
2021,ES,598,ES43,1,643.06496,1,2,1
2021,ES,599,ES43,1,1138.24650,1,2,1
2021,ES,600,ES43,1,338.67934,1,2,1
2021,ES,601,ES43,1,242.06181,1,2,1
2021,ES,602,ES43,1,637.94772,1,2,1
2021,ES,604,ES43,1,994.74649,1,3,1
2021,ES,605,ES43,1,865.19119,1,1,1
2021,ES,606,ES43,1,582.36792,1,3,1
2021,ES,608,ES43,1,755.36772,1,3,1
2021,ES,609,ES43,1,376.60557,1,3,1
2021,ES,610,ES43,1,2265.34362,1,3,1
2021,ES,611,ES43,1,591.93755,1,2,1
2021,ES,612,ES43,1,509.40714,1,2,1
2021,ES,613,ES43,1,695.92410,1,2,1
2021,ES,614,ES43,1,1111.98482,1,2,1
2021,ES,615,ES43,1,707.55711,1,2,1
2021,ES,617,ES43,1,564.29830,1,2,1
2021,ES,618,ES43,1,685.41313,1,2,1
2021,ES,619,ES43,1,1115.87702,1,2,1
2021,ES,620,ES43,1,1437.53718,1,2,1
2021,ES,621,ES43,1,509.40714,1,2,1
2021,ES,622,ES43,1,1411.40290,1,2,1
2021,ES,623,ES43,1,677.24590,1,2,1
2021,ES,624,ES61,1,4085.62388,1,1,1
2021,ES,626,ES61,1,4883.21651,1,2,1
2021,ES,627,ES61,1,1808.55973,1,2,1
2021,ES,628,ES61,1,2693.60543,1,2,1
2021,ES,630,ES61,1,2896.87806,1,1,1
2021,ES,631,ES61,1,2635.88705,1,1,1
2021,ES,632,ES61,1,4118.72254,1,1,1
2021,ES,633,ES61,1,4116.07213,1,1,1
2021,ES,634,ES61,1,2147.95159,1,1,1
2021,ES,635,ES61,1,2416.30450,1,1,1
2021,ES,636,ES61,1,3081.04907,1,1,1
2021,ES,637,ES61,1,2992.75271,1,1,1
2021,ES,638,ES61,1,3275.82230,1,1,1
2021,ES,639,ES61,1,2091.07260,1,1,1
2021,ES,640,ES61,1,2424.63772,1,1,1
2021,ES,641,ES61,1,4069.62740,1,1,1
2021,ES,642,ES61,1,5457.59809,1,1,1
2021,ES,643,ES61,1,5354.23143,1,1,1
2021,ES,644,ES61,1,1765.88237,1,1,1
2021,ES,645,ES61,1,3203.44699,1,1,1
2021,ES,646,ES61,1,5714.97851,1,1,1
2021,ES,647,ES61,1,2768.97049,1,1,1
2021,ES,648,ES61,1,5934.30426,1,1,1
2021,ES,649,ES61,1,2995.77667,1,1,1
2021,ES,650,ES61,1,6158.94252,1,1,1
2021,ES,651,ES61,1,4321.25510,1,1,1
2021,ES,653,ES61,1,2317.11549,1,2,1
2021,ES,654,ES61,1,1784.06466,1,2,1
2021,ES,655,ES61,1,2036.46685,1,2,1
2021,ES,657,ES61,1,2626.42437,1,2,1
